コード,カテゴリ,章,項目名（日本語）,項目名（英語）,定義・詳細解説
b110,心身機能,第1章 精神機能,意識機能,Consciousness functions,覚醒の状態、清明度、意識の質。昏睡だけでなく、解離状態や意識混濁も含む。全ての精神活動の前提となる最重要項目。
b114,心身機能,第1章 精神機能,見当識機能,Orientation functions,時間、場所、人物に対する認識。認知症やTBI（外傷性脳損傷）において初期に障害されやすく、生活の自立度に直結する。
b117,心身機能,第1章 精神機能,知能機能,Intellectual functions,推論、概念化、知識の統合など、全般的な精神能力。知的障害（Intellectual Disability）の定義的特性を記述する。
b122,心身機能,第1章 精神機能,全般的心理社会的機能,Global psychosocial functions,生涯を通じて発達し、社会的相互作用の中で統合される精神機能。自閉スペクトラム症などにおける社会的文脈の理解に関連。
b126,心身機能,第1章 精神機能,気質と人格の機能,Temperament and personality functions,個人の憲法的な性質、反応様式、活動レベル。外向性・内向性、開放性、誠実性などの特性を含む。
b130,心身機能,第1章 精神機能,エネルギーと欲動の機能,Energy and drive functions,精神的・生理的な活力、衝動、食欲。うつ病における精神運動制止や、依存症における衝動制御困難に関連。
b134,心身機能,第1章 精神機能,睡眠機能,Sleep functions,睡眠の開始、維持、質、サーカディアンリズム。心身の回復プロセスであり、就労継続性の最大の予測因子の一つとなり得る。
b139,心身機能,第1章 精神機能,全般的精神機能その他,Global mental functions other,上記に含まれない全般的機能。
b140,心身機能,第1章 精神機能,注意機能,Attention functions,選択的注意、持続的注意、分割的注意。ADHD等の特性記述において中心的な役割を果たす。
b144,心身機能,第1章 精神機能,記憶機能,Memory functions,記銘、保持、想起。短期記憶、長期記憶、意味記憶、エピソード記憶。就労における作業手順の習得に直結する。
b147,心身機能,第1章 精神機能,精神運動機能,Psychomotor functions,精神的プロセスに対する運動的・行動的反応。遅延（うつ病等）や興奮（躁状態等）、常同行動など。
b152,心身機能,第1章 精神機能,情動機能,Emotional functions,感情の適切性、調整、範囲。情動不安定性、感情鈍麻、不安、悲哀などを記述する。
b156,心身機能,第1章 精神機能,知覚機能,Perceptual functions,聴覚、視覚、触覚などの感覚刺激を認知し、意味づけする機能。幻覚や錯覚はここに分類される。
b160,心身機能,第1章 精神機能,思考機能,Thought functions,思考の形式（保続、迂遠など）、内容（妄想など）、制御。統合失調症等の精神症状記述に用いられる。
b164,心身機能,第1章 精神機能,高次認知機能,Higher-level cognitive functions,抽象化、計画立案、時間管理、認知的柔軟性（実行機能）。SoE研究における「意思決定主体」としての能力を支える基盤。
b167,心身機能,第1章 精神機能,言語に関する精神機能,Mental functions of language,記号・シンボルの受容と表出。失語症（Aphasia）の中核的機能障害。構音（b320）とは区別される。
b172,心身機能,第1章 精神機能,計算機能,Calculation functions,数的操作を行う機能。失算症（Acalculia）など。金銭管理活動（d860）の基礎となる。
b176,心身機能,第1章 精神機能,複雑な動作の順序化の精神機能,Mental function of sequencing complex movements,動作の観念化と順序立て。失行（Apraxia）に関連。
b180,心身機能,第1章 精神機能,自己と時間の経験の機能,Experience of self and time functions,自己同一性、身体像（ボディイメージ）、時間の流れの感覚。離人症や半側空間無視に関連。
b189,心身機能,第1章 精神機能,個別的精神機能その他,Specific mental functions other,上記に含まれない個別的機能。
b210,心身機能,第2章 感覚機能と痛み,視覚機能,Seeing functions,視力（遠見・近見）、視野、光覚、色覚。情報の8割以上を占めるとされる主要な入力経路。
b215,心身機能,第2章 感覚機能と痛み,眼球付属器の機能,Functions of structures adjoining the eye,涙液分泌、眼瞼の開閉など。ドライアイや眼瞼痙攣などは視覚的集中力を著しく阻害する。
b220,心身機能,第2章 感覚機能と痛み,眼と眼球付属器に関連する感覚,Sensations associated with the eye,眼精疲労、異物感、圧迫感。VDT作業等における環境調整の指標となる。
b229,心身機能,第2章 感覚機能と痛み,視覚および関連する機能その他,Seeing and related functions other,
b230,心身機能,第2章 感覚機能と痛み,聴覚機能,Hearing functions,音の検出、識別、定位、言語音の弁別。難聴はコミュニケーション（d3）の主要な阻害要因となる。
b235,心身機能,第2章 感覚機能と痛み,前庭機能,Vestibular functions,バランス、平衡感覚、身体の加速・減速の感知。めまいは移動（d4）や就労の安全性に直結する。
b240,心身機能,第2章 感覚機能と痛み,聴覚と前庭機能に関連する感覚,Sensations associated with hearing,耳鳴り（Tinnitus）、めまい感、耳閉感。持続的な耳鳴りは精神機能（b1）への二次的影響も大きい。
b249,心身機能,第2章 感覚機能と痛み,聴覚と前庭機能その他,Hearing and vestibular functions other,
b250,心身機能,第2章 感覚機能と痛み,味覚機能,Taste function,酸味、甘味、塩味、苦味の感知。QOL（食の楽しみ）に深く関わる。
b255,心身機能,第2章 感覚機能と痛み,嗅覚機能,Smell function,においの感知。危険予知（ガス漏れや腐敗臭）の安全管理に関わる。
b260,心身機能,第2章 感覚機能と痛み,固有受容覚機能,Proprioceptive function,身体各部の位置、運動の状態、力の感覚。視覚補正なしでの運動制御に不可欠。
